"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 22 11:23:29 PST 2021","Mon Nov 22 11:23:54 PST 2021","24445","Surefire suite","Surefire test","Parallel02IT","Parallel02IT","feature","Runs Cucumber Feature",""
"passed","Mon Nov 22 11:23:29 PST 2021","Mon Nov 22 11:24:15 PST 2021","46014","Surefire suite","Surefire test","Parallel01IT","Parallel01IT","feature","Runs Cucumber Feature",""
